Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Agressive_Target,Predicted_Agressive_Target,Actual_Profit,Actual_Aggressive_profit,PAT_Profit_100,PAT_D_Profit_100,PAT_Loss_100,Target_Predicted_Aggressive_100_Defence_Target,PAT_Profit_Timestamp_100,PAT_D_Profit_Timestamp_100,PAT_Loss_Timestamp_100,Actual_Loss,PAT_Profit_Duration,PAT_D_Profit_Duration,PAT_Loss_Duration
9/2/2024 20:15,5718,5719.25,5717.75,5719,5658,5616.5,5614.75,5614,5613.25,5715.25,5715.5,5717,5717.75,5718.75,0,5719,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0
9/2/2024 20:25,5719.25,5720.25,5718.75,5720,5658,5616.5,5614.75,5614,5613.25,5715.5,5717,5717.75,5718.75,5720,5720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/2/2024 21:45,5709.25,5710.75,5709.25,5710.75,5658,5616.5,5614.75,5614,5613.25,5709.25,5715.5,5717,5717.75,5718.75,0,5710.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/2/2024 21:50,5710.75,5713.25,5710.5,5712.75,5658,5616.5,5614.75,5614,5613.25,5709.25,5710.5,5715.5,5717,5717.75,5712.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/2/2024 21:55,5712.75,5713.25,5712,5712.75,5658,5616.5,5614.75,5614,5613.25,5709.25,5710.5,5715.5,5717,5717.75,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,0,0,0,0
9/2/2024 22:00,5713,5713.75,5712.75,5713.75,5658,5616.5,5614.75,5614,5613.25,5709.25,5710.5,5715.5,5717,5717.75,5713.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/2/2024 22:35,5712,5713,5712,5712.25,5658,5616.5,5614.75,5614,5613.25,5709.25,5710.5,5715.5,5717,5717.75,0,5712.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/2/2024 23:05,5712.25,5714.25,5712.25,5713.5,5658,5616.5,5614.75,5614,5613.25,5709.25,5710.5,5712,5715.5,5717,5713.5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0
9/2/2024 23:10,5713.5,5714.5,5712.75,5714.25,5658,5616.5,5614.75,5614,5613.25,5709.25,5710.5,5712,5712.25,5715.5,5714.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/2/2024 23:15,5714.25,5715.25,5714,5715,5658,5616.5,5614.75,5614,5613.25,5709.25,5710.5,5712,5712.25,5712.75,5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
