Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Ideal_Target,Predicted_Ideal_Target,Actual_Profit,Actual_ideal_profit,PIT_Profit_100,PIT_D_Profit_100,PIT_Loss_100,PIT_Defence_Target_100,PIT_Profit_Timestamp_100,PIT_D_Profit_Timestamp_100,PIT_Loss_Timestamp_100,Actual_Loss,PIT_Profit_Duration,PIT_D_Profit_Duration,PIT_Loss_Duration
6/17/2024 15:25,119.19,119.19,119.18,119.18,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 15:30,119.19,119.19,119.18,119.19,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 15:35,119.18,119.2,119.18,119.2,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 15:40,119.19,119.2,119.19,119.2,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 15:45,119.19,119.2,119.19,119.19,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 15:50,119.19,119.2,119.19,119.19,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 15:55,119.19,119.2,119.19,119.19,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 16:00,119.19,119.2,119.18,119.2,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 16:05,119.2,119.21,119.18,119.18,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 16:10,119.19,119.19,119.17,119.17,119.22,119.21,119.2,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 16:15,119.18,119.18,119.17,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 16:20,119.17,119.18,119.17,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 16:25,119.17,119.17,119.17,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 16:30,119.17,119.18,119.17,119.18,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 16:35,119.17,119.17,119.15,119.16,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 16:40,119.16,119.17,119.15,119.16,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 16:45,119.16,119.17,119.15,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 16:50,119.17,119.17,119.16,119.16,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 16:55,119.16,119.18,119.16,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 17:00,119.17,119.18,119.16,119.16,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 18:05,119.16,119.18,119.16,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
